id,photo_url,thumb_url
32,https://pe.tedcdn.com/images/ted/1385_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/c29cd3594b3be9c5290242f636b79e33e138e488_1600x1200.jpg?quality=89&w=600
33,https://pe.tedcdn.com/images/ted/1383_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/199_480x360.jpg?quality=89&w=600
34,https://pe.tedcdn.com/images/ted/1377_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/227_480x360.jpg?quality=89&w=600
35,https://pe.tedcdn.com/images/ted/c1cc5cc9feac59484b30c8d8135183c367b15862_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/2f10559f-81cc-40f1-aea1-6e37565dd60b/JamesWatson_2005-embed.jpg?quality=89&w=600
36,https://pe.tedcdn.com/images/ted/22724bc80180827188cb1dc653e0525041731b78_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/ea4ebc40fc5c096e331ea6d2b103e8fea9878232_1600x1200.jpg?quality=89&w=600
37,https://pe.tedcdn.com/images/ted/1332_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/24d2cdd703346a33bc9d7e6be0b4c9bdc9dd4b9a_1600x1200.jpg?quality=89&w=600
38,https://pe.tedcdn.com/images/ted/1328_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/e87f6855a745a988c2dee9ceba6bfbd4f854a3a6_1600x1200.jpg?quality=89&w=600
39,https://pe.tedcdn.com/images/ted/16458d0f5725d3a196b41a965991a673c1a16729_254x191.jpg,https://pi.tedcdn.com/r/talkstar-photos.s3.amazonaws.com/uploads/a51de247-dfbb-4c34-a4bf-37d4017697c7/AubreydeGrey_2005G-embed.jpg?quality=89&w=600
40,https://pe.tedcdn.com/images/ted/685b99520f43c5913d00d77dc930e3ab76f50aa1_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/381_480x360.jpg?quality=89&w=600
41,https://pe.tedcdn.com/images/ted/7230935c0d873ed58b2786e1f3b5c93dc09e10cc_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/225_480x360.jpg?quality=89&w=600
42,https://pe.tedcdn.com/images/ted/1330_253x190.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/bfd70bdb95ddbee93eb8b8e5d7b1a849cefe2159_1600x1200.jpg?quality=89&w=600
43,https://pe.tedcdn.com/images/ted/71_254x191.jpg,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/157_480x360.jpg?quality=89&w=600
