id,est_gender,est_age
674,male,66
675,male,57
676,male,64
677,male,70
679,male,43
680,female,44
681,male,40
682,female,33
683,male,50
684,female,45
685,male,30
686,male,32
688,female,42
689,male,42
691,male,35
692,female,48
694,male,36
695,male,52
696,male,37
698,male,30
700,male,54
701,female,39
702,male,61
704,female,36
705,male,41
706,male,51
708,male,62
709,male,53
710,female,40
712,female,47
713,male,26
714,male,31
715,male,58
716,male,47
717,male,38
718,male,41
719,male,34
720,male,51
721,male,47
722,female,23
723,male,42
724,male,48
726,male,44
727,male,42
728,male,60
729,male,37
730,male,20
732,male,63
733,male,54
734,male,38
735,female,32
736,male,32
737,female,17
738,male,46
741,male,28
743,male,34
744,male,49
745,male,36
746,male,45
747,male,40
748,male,58
750,male,32
751,female,45
752,female,29
755,male,39
756,female,41
757,male,29
759,male,34
760,male,60
761,male,44
763,male,67
765,male,34
766,male,36
767,male,53
768,male,41
769,female,31
770,male,64
771,male,59
772,male,48
773,female,54
775,male,50
776,male,32
777,male,25
779,male,62
780,male,39
783,male,36
784,male,49
785,male,56
787,male,55
788,male,37
789,male,54
790,male,36
791,male,55
792,male,37
795,male,33
796,male,46
797,male,41
798,male,58
799,female,29
800,male,51
801,male,39
802,female,34
803,male,49
805,male,28
806,female,48
807,male,59
809,female,48
811,male,45
814,male,39
815,female,14
816,male,34
818,female,41
819,male,48
820,male,36
821,male,40
823,female,30
824,male,52
826,male,48
828,female,35
830,male,50
831,female,35
832,male,27
833,female,36
835,male,71
836,male,28
837,male,37
838,male,44
840,male,53
842,female,32
843,male,47
844,female,37
845,male,65
846,male,43
847,female,35
848,male,32
849,male,41
850,male,63
851,male,60
852,male,46
853,male,54
854,male,34
855,male,32
856,female,45
857,male,61
859,male,38
860,male,33
862,male,55
863,male,57
865,male,57
866,female,32
868,female,37
869,male,57
870,female,22
871,male,48
872,male,43
873,male,44
874,male,26
876,male,30
877,male,34
878,male,48
879,male,36
880,male,48
881,male,65
883,male,43
884,male,50
885,female,37
886,male,65
887,male,36
888,female,31
889,male,47
891,female,46
892,male,41
893,male,29
894,male,42
896,male,37
898,female,49
899,male,52
900,male,48
901,male,39
909,male,65
910,female,31
911,female,44
912,male,51
914,male,53
915,male,53
916,male,49
917,female,36
918,male,47
919,male,43
920,male,48
921,female,27
922,male,52
923,male,44
924,female,31
925,female,53
926,male,62
927,female,29
928,male,38
929,male,57
930,female,35
931,female,36
932,male,50
934,male,39
935,male,41
936,male,25
937,male,38
938,male,71
939,male,48
940,female,44
941,male,42
943,male,55
944,male,40
945,male,49
946,male,27
947,male,39
948,female,28
949,male,49
950,male,33
