id,est_gender,est_age
3397,female,31
3398,female,32
3399,male,34
3400,male,32
3401,male,35
3402,male,37
3403,male,40
3404,male,36
3405,male,56
3406,female,10
3407,female,29
3408,male,47
3409,male,45
3410,male,42
3411,female,47
3412,male,43
3413,male,23
3414,,0
3415,female,43
3416,male,34
3417,male,23
3418,male,34
3419,male,48
3420,,0
3421,,0
3422,female,27
3423,male,42
3424,female,21
3425,male,39
3426,female,25
3427,female,26
3428,male,55
3429,,0
3430,male,32
3431,male,36
3432,,0
3433,male,43
3434,male,54
3435,female,51
3436,male,38
3437,male,41
3438,male,38
3439,male,28
3440,female,32
3441,male,32
3442,male,39
3443,male,49
3444,male,58
3445,male,63
3446,male,19
3447,male,22
3448,male,52
3449,male,23
3450,,0
3451,female,25
3452,,0
3453,female,26
3454,male,31
3455,male,31
3456,,0
3457,male,34
3458,female,25
3459,female,25
3460,male,34
3461,male,35
3462,female,21
3463,male,33
3465,male,34
3466,female,25
3467,male,39
3468,female,31
3469,female,18
3470,male,41
3471,female,47
3472,male,39
3474,female,34
3475,male,28
3476,male,39
3477,male,46
3478,female,31
3480,female,29
3481,female,21
3482,,0
3483,,0
3484,male,33
3485,male,32
3486,,0
3487,,0
3488,female,35
3489,male,49
3491,female,27
3494,,0
3495,female,45
3496,female,29
3497,female,23
3498,,0
3499,male,47
3500,male,48
3501,female,22
3502,male,33
3503,female,37
3504,male,55
3505,,0
3506,male,53
3507,female,34
3508,female,31
3509,male,31
3510,male,33
3511,male,38
3512,male,63
3513,female,24
3514,female,39
3515,male,28
3516,female,17
3517,,0
3518,male,45
3519,male,37
3520,female,25
3521,,0
3522,male,36
3523,,0
3524,female,62
3525,male,48
3526,female,38
3528,female,35
3529,female,41
3531,female,32
3532,male,49
3533,male,43
3534,female,60
3535,,0
3536,female,25
3537,female,11
3538,female,36
3539,male,44
3540,,0
3541,,0
3542,male,54
3543,female,29
3544,male,30
3546,male,28
3547,,0
3548,female,24
3549,female,39
3550,female,38
3551,male,36
3552,female,22
3553,male,25
3554,female,35
3555,male,56
3556,female,39
3557,male,33
3558,male,40
3559,female,29
3561,female,24
3562,female,45
3563,male,34
3564,female,23
3566,male,21
3567,female,33
3568,male,40
3569,male,27
3571,female,36
3572,,0
3575,female,21
3576,male,56
3577,male,47
3580,female,33
3582,male,46
3584,female,29
3586,male,31
3589,female,42
3597,female,41
3600,,0
3601,male,26
3603,female,23
3607,male,38
3608,male,44
3609,male,34
3610,female,33
3611,female,19
3619,,0
3622,male,37
3624,,0
3626,female,39
3627,,0
3628,female,41
3629,male,31
3630,female,41
3635,male,35
3639,female,37
3640,female,20
3643,female,43
3645,,0
3646,male,26
3647,,0
3648,male,17
3649,male,65
3650,,0
3651,male,13
3652,,0
3653,,0
3654,female,20
3656,male,50
3657,male,53
3658,female,30
3659,,0
3660,male,26
3661,female,41
3662,,0
3664,,0
3665,,0
3666,female,33
3667,,0
3668,,0
3669,female,39
3670,,0
3672,,0
3673,,0
3674,female,40
3675,,0
3676,male,38
3677,female,28
3679,,0
3681,female,21
3682,male,54
3683,female,40
3684,,0
3685,female,42
3687,male,52
3689,,0
3690,,0
3691,,0
3692,,0
3695,male,30
3696,female,31
3697,male,27
3698,male,33
3699,male,36
3700,female,26
3701,female,52
3703,female,43
3704,female,23
3705,male,31
3706,female,28
3707,female,31
3708,male,45
3709,male,35
3710,male,25
3711,,0
3712,female,7
3713,,0
3714,,0
3715,male,25
3716,male,38
3717,female,26
3718,male,32
3719,male,30
3720,female,26
3721,male,59
3722,,0
3723,male,37
3725,female,33
3726,,0
3727,male,31
3728,male,35
3729,male,10
3730,female,31
